,City,CLoundiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Melfi,100,IT,2021-04-16,89,40.9965,15.6514,3.33,1.1
1,Jamestown,90,US,2021-04-16,93,42.097,-79.2353,3.33,5.14
2,Punta Arenas,0,CL,2021-04-16,71,-53.15,-70.9167,9.0,8.75
3,Esperance,55,AU,2021-04-16,56,-33.8667,121.9,20.0,3.6
4,Ushuaia,90,AR,2021-04-16,75,-54.8,-68.3,6.0,2.06
5,Barrow,90,US,2021-04-16,74,71.2906,-156.7887,-3.0,5.14
6,Wichita Falls,90,US,2021-04-16,71,33.9137,-98.4934,11.0,7.72
7,Kruisfontein,1,ZA,2021-04-16,68,-34.0033,24.7314,10.05,3.0
8,Kapaa,90,US,2021-04-16,78,22.0752,-159.319,22.22,1.54
9,Avarua,75,CK,2021-04-16,69,-21.2078,-159.775,28.0,1.54
10,Aurora,90,US,2021-04-16,93,39.7294,-104.8319,0.56,2.57
11,Klaksvík,75,FO,2021-04-16,100,62.2266,-6.589,7.0,4.63
12,Port Alfred,1,ZA,2021-04-16,65,-33.5906,26.891,15.99,8.34
13,Takoradze,87,GH,2021-04-16,86,4.8845,-1.7554,25.64,1.64
14,Hobart,75,AU,2021-04-16,51,-42.8794,147.3294,17.0,6.69
15,Lawton,90,US,2021-04-16,87,34.6087,-98.3903,10.0,5.66
16,Fairbanks,1,US,2021-04-16,49,64.8378,-147.7164,8.0,2.57
17,East London,1,ZA,2021-04-16,66,-33.0153,27.9116,15.06,5.65
18,Talnakh,100,RU,2021-04-16,93,69.4865,88.3972,-22.69,1.67
19,Perth,0,AU,2021-04-16,33,-31.9333,115.8333,25.0,4.12
20,Hobyo,15,SO,2021-04-16,68,5.3505,48.5268,28.14,4.62
21,New Norfolk,98,AU,2021-04-16,73,-42.7826,147.0587,16.67,2.24
22,Busselton,24,AU,2021-04-16,54,-33.65,115.3333,21.67,1.34
23,Husavik,75,IS,2021-04-16,60,66.0449,-17.3389,5.0,6.17
24,Puerto Ayora,96,EC,2021-04-16,97,-0.7393,-90.3518,24.44,2.24
25,Raudeberg,0,NO,2021-04-16,54,61.9875,5.1352,5.56,2.79
26,Aksarka,100,RU,2021-04-16,89,66.5606,67.7975,-14.48,3.54
27,Rikitea,100,PF,2021-04-16,68,-23.1203,-134.9692,25.39,3.83
28,Marystown,13,CA,2021-04-16,82,47.1666,-55.1483,0.83,7.82
29,Caravelas,10,BR,2021-04-16,86,-17.7125,-39.2481,22.69,1.95
30,Talcahuano,48,CL,2021-04-16,88,-36.7167,-73.1167,14.0,3.09
31,Port Macquarie,90,AU,2021-04-16,100,-31.4333,152.9167,15.0,4.63
32,Jalu,0,LY,2021-04-16,14,29.0331,21.5482,27.35,6.2
33,Quatre Cocos,40,MU,2021-04-16,88,-20.2078,57.7625,26.67,2.06
34,Mar del Plata,16,AR,2021-04-16,100,-38.0023,-57.5575,17.78,1.54
35,Novobirilyussy,100,RU,2021-04-16,63,56.9514,90.6661,-4.86,3.95
36,Tevriz,100,RU,2021-04-16,54,57.509,72.4042,-1.32,1.93
37,Lüderitz,92,NA,2021-04-16,33,-26.6481,15.1594,25.73,5.29
38,Pisco,0,PE,2021-04-16,83,-13.7,-76.2167,20.0,4.12
39,Lewiston,90,US,2021-04-16,100,44.1003,-70.2148,2.78,5.66
40,Beidao,21,CN,2021-04-16,47,34.5686,105.8933,5.56,4.02
41,Lompoc,2,US,2021-04-16,76,34.6391,-120.4579,12.0,5.14
42,Srednekolymsk,13,RU,2021-04-16,70,67.45,153.6833,-3.24,4.9
43,Zlobin,20,HR,2021-04-16,37,45.2924,14.6541,9.0,2.57
44,Pevek,100,RU,2021-04-16,83,69.7008,170.3133,-5.23,1.49
45,Mataura,86,NZ,2021-04-16,61,-46.1927,168.8643,12.78,3.58
46,Ostrovnoy,100,RU,2021-04-16,89,68.0531,39.5131,2.89,10.96
47,Tuktoyaktuk,90,CA,2021-04-16,86,69.4541,-133.0374,-7.0,1.54
48,Nome,90,US,2021-04-16,86,64.5011,-165.4064,0.0,2.57
49,Burns Lake,36,CA,2021-04-16,18,54.2331,-125.7533,21.0,1.54
50,Carbonia,75,IT,2021-04-16,81,39.1672,8.5222,10.0,2.06
51,Hermanus,0,ZA,2021-04-16,81,-34.4187,19.2345,13.89,1.34
52,Santarém,0,BR,2021-04-16,89,-2.4431,-54.7083,27.0,4.12
